Step,Dist_to_Truck,Speed,Stopping_Dist,Safety_Margin,Risk
1,7.26,0.00,0.00,3.26,0.0874
2,7.37,0.00,0.00,3.37,0.0777
3,7.46,0.00,0.00,3.46,0.0702
4,7.55,0.00,0.00,3.55,0.0642
5,7.64,0.00,0.00,3.64,0.0591
6,7.74,0.00,0.00,3.74,0.0546
7,7.83,0.00,0.00,3.83,0.0507
8,7.92,0.00,0.00,3.92,0.0471
9,8.01,0.00,0.00,4.01,0.0438
10,8.10,0.00,0.00,4.10,0.0408
11,8.19,0.39,0.02,4.17,0.0382
12,8.22,1.42,0.20,4.02,0.0384
13,8.21,2.05,0.43,3.78,0.0416
14,8.17,2.44,0.61,3.56,0.0468
15,8.11,2.73,0.76,3.35,0.0538
16,8.04,2.98,0.91,3.13,0.0625
17,7.95,3.21,1.05,2.89,0.0734
18,7.84,3.45,1.21,2.63,0.0875
19,7.73,3.66,1.36,2.36,0.1050
20,7.61,3.86,1.52,2.09,0.1264
21,7.47,4.06,1.68,1.79,0.1527
22,7.33,4.25,1.84,1.49,0.1848
23,7.17,4.45,2.02,1.15,0.2246
24,7.00,4.66,2.21,0.78,0.2740
25,6.83,4.84,2.39,0.44,0.3296
26,6.62,5.05,2.60,0.03,0.3958
27,6.44,5.23,2.79,-0.35,0.4653
28,6.22,5.35,2.92,-0.70,0.5337
29,6.02,5.49,3.07,-1.05,0.5999
30,5.79,5.67,3.28,-1.49,0.6665
31,5.58,5.81,3.44,-1.86,0.7261
32,5.35,5.82,3.45,-2.10,0.7729
33,5.13,5.77,3.39,-2.27,0.8077
34,4.92,5.67,3.28,-2.35,0.8318
35,4.74,5.55,3.14,-2.41,0.8481
36,4.54,5.40,2.98,-2.43,0.8589
37,4.36,5.24,2.80,-2.43,0.8654
38,4.21,5.02,2.57,-2.36,0.8666
39,4.07,4.72,2.27,-2.19,0.8609
40,3.94,4.37,1.95,-2.01,0.8496
41,0.00,0.00,0.00,-10.00,1.0000
42,0.00,0.00,0.00,-10.00,1.0000
43,0.00,0.00,0.00,-10.00,1.0000
44,0.00,0.00,0.00,-10.00,1.0000
45,0.00,0.00,0.00,-10.00,1.0000
46,0.00,0.00,0.00,-10.00,1.0000
47,0.00,0.00,0.00,-10.00,1.0000
48,0.00,0.00,0.00,-10.00,1.0000
49,0.00,0.00,0.00,-10.00,1.0000
50,0.00,0.00,0.00,-10.00,1.0000
